total_area,living_area,kitchen_area,cityCenters_nearest,bedrooms,floors_total,ceiling_height,airports_nearest,floor,balcony,price_class
63.0,31.0,13.0,14398,2,15,2.8,34530,8,0,1.0
42.0,28.0,6.5,14930,2,5,2.5,21225,2,0,0.0
32.0,15.0,7.5,11687,1,12,2.65,9569,7,0,0.0
48.0,30.4,8.4,17148,2,9,2.5,17240,2,1,0.0
50.0,35.0,7.4,13612,3,5,2.6,25805,4,1,0.0
102.0,63.0,11.0,1542,4,4,3.0,22005,2,0,1.0
62.1,30.0,12.8,21839,2,10,2.55,18414,9,2,0.0
63.0,43.5,8.0,2947,3,4,2.8,22834,4,0,0.0
56.6,31.0,7.5,13551,2,16,2.5,14755,11,0,1.0
33.5,19.0,7.0,12635,1,9,2.5,31476,4,0,0.0
59.0,37.8,8.3,5130,2,6,3.35,31447,3,0,1.0
44.0,27.0,6.0,15306,2,3,2.53,35915,2,1,0.0
171.0,80.0,45.0,7257,3,11,2.55,31118,10,0,1.0
64.7,35.7,11.0,8774,2,14,2.8,11942,2,0,1.0
54.5,30.3,12.2,14784,2,24,2.85,33620,2,0,1.0
140.0,70.0,58.0,13229,4,4,3.0,38332,3,0,1.0
59.0,29.3,12.4,12628,2,17,2.7,35714,2,2,1.0
40.5,16.4,11.7,8106,1,16,2.8,29167,8,0,1.0
44.0,17.0,12.0,16699,1,21,2.75,35662,11,0,0.0
83.1,53.5,9.0,12071,3,9,2.5,40368,2,2,1.0
41.0,17.0,10.5,14857,1,16,2.7,14112,4,2,0.0
75.0,44.3,8.2,15631,3,12,2.7,50303,4,0,1.0
29.3,14.5,7.2,13508,1,5,2.6,41005,3,0,0.0
37.0,15.4,10.1,15458,1,17,2.65,35452,7,0,0.0
63.0,33.0,14.0,14883,2,12,2.7,16087,2,0,0.0
121.0,76.0,12.0,12843,3,16,2.75,38900,8,0,1.0
91.8,36.6,17.2,4782,2,5,3.5,24564,3,0,1.0
94.3,28.9,31.2,6754,3,10,2.8,27907,6,0,1.0
32.5,17.5,6.5,16890,1,9,2.8,51708,8,0,0.0
83.0,49.3,12.0,22185,3,16,2.65,20473,7,0,1.0
76.0,52.0,7.8,13914,4,9,2.5,49599,1,0,0.0
44.6,28.6,5.7,9585,2,5,2.55,35998,5,0,0.0
55.0,32.4,10.0,14217,2,12,1.0,33053,7,0,1.0
64.0,35.0,10.0,4176,2,5,2.75,19350,1,0,1.0
76.0,39.0,15.0,14640,2,23,2.75,34967,18,2,1.0
55.5,31.0,11.0,9934,2,12,2.6,35763,11,2,0.0
41.5,29.7,5.2,12811,3,5,2.52,19344,5,0,0.0
36.0,23.0,6.0,12882,2,5,2.5,14341,5,0,0.0
68.9,47.0,10.0,2143,2,6,3.0,20488,4,0,1.0
89.4,49.7,14.6,16464,3,14,2.6,52239,4,4,1.0
51.4,32.7,7.0,12525,2,12,2.64,31932,12,0,1.0
60.0,44.0,6.0,16982,3,9,2.5,22412,8,0,0.0
131.8,81.6,17.7,6040,3,12,2.6,29503,7,0,1.0
65.3,38.0,14.0,14528,2,25,2.75,36410,2,0,1.0
42.6,16.8,12.5,13277,1,24,2.8,11596,17,1,1.0
60.0,37.0,7.0,1796,2,3,2.6,23473,2,0,1.0
39.0,16.2,10.2,22613,1,16,2.65,20901,4,0,0.0
91.0,45.5,12.5,15363,3,25,2.8,51340,24,0,1.0
33.3,17.5,7.3,11725,1,14,2.54,34160,8,1,0.0
63.4,36.3,10.9,4125,2,5,3.2,23343,2,0,1.0
63.0,45.9,6.0,16432,3,9,2.5,14843,1,2,0.0
33.0,18.7,6.8,16534,1,9,2.6,13943,7,0,0.0
96.4,59.5,12.0,3344,3,4,3.54,22079,2,0,1.0
45.0,19.0,10.0,11369,1,16,3.3,41236,5,2,0.0
82.0,30.0,31.0,11367,2,11,3.0,10143,9,2,1.0
55.2,38.2,6.0,10574,3,5,2.5,35515,4,0,0.0
48.0,18.0,23.0,15208,2,10,2.57,34907,7,0,0.0
37.0,17.7,8.0,14481,1,16,2.8,38082,5,0,0.0
35.0,18.0,10.0,14133,1,16,2.7,32969,2,0,0.0
42.3,17.2,13.8,14683,1,10,2.56,33584,1,0,0.0
37.0,20.0,8.0,11565,1,14,2.5,23996,12,0,0.0
110.2,57.3,18.3,3677,3,6,3.52,24110,3,0,1.0
43.2,14.0,15.0,13486,1,22,2.8,15377,2,1,0.0
36.0,19.5,9.0,16921,1,20,2.7,44382,10,0,0.0
60.0,18.0,23.0,4232,2,3,3.0,23932,1,0,1.0
61.0,35.0,8.0,15061,2,6,3.3,20260,4,0,1.0
113.2,76.8,13.7,4982,4,6,2.85,24702,2,0,1.0
50.0,27.0,6.0,10107,2,9,2.5,11925,2,0,0.0
45.0,29.0,6.0,9961,2,5,2.5,11127,3,0,0.0
63.0,33.0,10.0,12316,2,10,2.5,13520,3,2,1.0
121.0,55.5,29.3,12120,3,23,2.7,40417,22,5,1.0
59.7,46.3,6.4,15468,3,5,4.19,42964,4,1,0.0
64.0,44.0,9.0,3828,3,4,2.7,22562,1,0,1.0
52.1,31.0,5.6,6745,2,7,3.0,17006,7,0,1.0
90.0,63.2,9.0,14905,3,8,3.2,19641,5,0,1.0
62.6,31.0,11.0,10820,2,23,2.65,43074,20,2,1.0
178.3,73.5,39.9,15891,4,5,3.0,16889,1,0,1.0
47.8,22.45,11.33,8760,2,3,2.7,44550,2,0,1.0
51.7,29.9,7.7,13168,1,16,2.65,35098,3,2,1.0
112.0,64.9,15.4,2056,4,6,3.0,21655,4,1,1.0
44.4,21.0,11.5,12120,1,25,2.75,36598,6,2,1.0
44.1,20.74,9.62,14969,1,16,2.75,12378,3,2,1.0
139.0,3.0,16.0,5975,3,8,3.0,33255,8,1,1.0
67.3,35.0,14.1,9176,2,25,2.8,36421,9,0,1.0
45.7,31.4,6.6,16034,2,5,2.55,18233,5,0,0.0
77.0,42.8,12.6,21430,3,18,2.68,42114,18,1,1.0
30.2,15.0,8.0,9601,1,9,2.53,32524,2,5,0.0
44.3,27.0,7.0,15438,2,9,2.58,12847,4,0,0.0
52.8,27.3,10.6,11474,2,10,2.75,15936,10,1,1.0
85.0,44.2,24.4,8393,2,5,2.9,27686,3,0,1.0
47.2,17.1,19.7,17092,1,5,2.75,18090,5,1,1.0
57.0,36.0,11.0,7211,2,16,2.65,29840,13,2,1.0
45.3,30.4,6.3,8261,2,5,2.6,27553,5,0,0.0
65.0,31.0,11.0,4593,2,10,3.2,25799,9,2,1.0
70.8,43.0,10.7,15976,3,16,2.67,15760,12,1,1.0
49.1,28.9,9.5,6243,2,3,3.0,21969,3,0,0.0
85.2,51.9,10.2,4299,3,6,3.25,24036,4,0,1.0
34.5,17.6,7.4,11220,1,14,2.65,25430,4,1,0.0
34.4,16.0,10.2,15541,1,25,2.7,46530,25,2,0.0
68.0,41.0,10.0,7740,1,5,3.0,38473,3,0,0.0
31.8,18.0,6.0,8861,1,5,2.5,39095,1,0,0.0
